기간	자치구	인구수	합계	(합계/인구수)*100000(범죄율)	살인	강도	강간강제추행	절도	폭력	
2019	종로구	161869 	3846 	2375 	4 	7 	238 	1515 	2082 	
2019	중구	136488 	4327 	3170 	2 	6 	195 	2202 	1922 	
2019	용산구	245185 	3313 	1351 	3 	3 	272 	999 	2036 	
2019	성동구	308979 	2512 	813 	6 	9 	133 	970 	1394 	
2019	광진구	366972 	4011 	1092 	4 	6 	273 	1875 	1853 	
2019	동대문구	363023 	3692 	1017 	6 	10 	168 	1531 	1977 	
2019	중랑구	402024 	4268 	1061 	10 	4 	138 	1666 	2450 	
2019	성북구	454744 	2877 	632 	3 	3 	176 	1082 	1613 	
2019	강북구	317695 	3838 	1208 	6 	3 	176 	1229 	2424 	
2019	도봉구	335631 	2110 	628 	1 	5 	90 	790 	1224 	
2019	노원구	537303 	4153 	772 	4 	3 	184 	1498 	2464 	
2019	은평구	484546 	3880 	800 	3 	1 	194 	1565 	2117 	
2019	서대문구	323171 	2943 	910 	2 	5 	175 	1226 	1535 	
2019	마포구	385925 	4842 	1254 	2 	2 	495 	2190 	2153 	
2019	양천구	462285 	3214 	695 	6 	2 	127 	1477 	1602 	
2019	강서구	598273 	4924 	823 	8 	3 	306 	2050 	2557 	
2019	구로구	439371 	4707 	1071 	10 	3 	226 	1916 	2552 	
2019	금천구	251820 	3105 	1233 	6 	10 	153 	1157 	1779 	
2019	영등포구	400986 	5820 	1451 	10 	3 	356 	2409 	3042 	
2019	동작구	408912 	3400 	831 	4 	1 	251 	1328 	1816 	
2019	관악구	517334 	5328 	1029 	13 	10 	408 	2223 	2674 	
2019	서초구	435107 	5542 	1273 	5 	7 	616 	2270 	2644 	
2019	강남구	550209 	7304 	1327 	5 	5 	666 	2970 	3658 	
2019	송파구	682741 	5698 	834 	7 	10 	273 	2416 	2992 	
2019	강동구	440390 	4014 	911 	6 	15 	180 	1650 	2163 	
